HomePage,HomePage_Duration,LandingPage,LandingPage_Duration,ProductDescriptionPage,ProductDescriptionPage_Duration,GoogleMetric:Bounce Rates,GoogleMetric:Exit Rates,GoogleMetric:Page Values,SeasonalPurchase,Month_SeasonalPurchase,OS,SearchEngine,Zone,Type of Traffic,CustomerType,Gender,Cookies Setting,Education,Marital Status,WeekendPurchase,Made_Purchase
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,4.0,1.0,9.0,3.0,Returning_Visitor,Not Specified,Deny,Not Specified,Other,0.0,False
0.0,0.0,0.0,0.0,2.0,2.666666667,0.05,0.14,0.0,0.0,Feb,3.0,2.0,2.0,4.0,Returning_Visitor,Female,Deny,Others,Married,0.0,False
0.0,0.0,0.0,0.0,10.0,627.5,0.02,0.05,0.0,0.0,Feb,3.0,3.0,1.0,4.0,Returning_Visitor,Female,ALL,Others,Married,1.0,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.4,Feb,2.0,4.0,3.0,3.0,Returning_Visitor,Male,ALL,Diploma,Single,0.0,False
1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Feb,1.0,2.0,1.0,5.0,Returning_Visitor,Male,Deny,Diploma,Other,1.0,False
0.0,0.0,0.0,0.0,3.0,738.0,0.0,0.022222222000000003,0.0,0.4,Feb,2.0,4.0,1.0,2.0,Returning_Visitor,Female,Required,Not Specified,Other,0.0,False
0.0,0.0,0.0,0.0,3.0,395.0,0.0,0.066666667,0.0,0.0,Feb,1.0,1.0,3.0,3.0,Returning_Visitor,Female,ALL,Diploma,Married,0.0,False
0.0,0.0,0.0,0.0,7.0,280.5,0.0,0.028571429,0.0,0.0,Feb,1.0,1.0,1.0,3.0,Returning_Visitor,Female,Deny,Diploma,Other,0.0,False
0.0,0.0,0.0,0.0,6.0,98.0,0.0,0.066666667,0.0,0.0,Feb,2.0,5.0,1.0,3.0,Returning_Visitor,Not Specified,Deny,Graduate,Single,0.0,False
0.0,0.0,0.0,0.0,2.0,68.0,0.0,0.1,0.0,0.0,Feb,3.0,2.0,3.0,3.0,Returning_Visitor,Male,Required,Diploma,Single,0.0,False
2.0,53.0,0.0,0.0,23.0,1668.285119,0.008333333,0.016312636000000002,0.0,0.0,Feb,1.0,1.0,9.0,3.0,Returning_Visitor,Not Specified,Deny,Diploma,Married,0.0,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1.0,4.0,3.0,Returning_Visitor,Male,Required,Graduate,Single,0.0,False
